"filename", "language", "C++", "JSON", "YAML", "Markdown", "Swift", "HTML", "XML", "Dart", "Properties", "Groovy", "comment", "blank", "total"
"e:\Projects\cinemax\lib\data\datasource\news_datasource.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 5, 28
"e:\Projects\cinemax\lib\data\datasource\reply_datasource.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 14, 138
"e:\Projects\cinemax\lib\data\datasource\search_datasource.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 6, 48
"e:\Projects\cinemax\lib\data\datasource\series_datasource.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 8, 118
"e:\Projects\cinemax\lib\data\datasource\upcomings_datasource.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 6, 72
"e:\Projects\cinemax\lib\data\datasource\video_datasource.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 5, 44
"e:\Projects\cinemax\lib\data\datasource\wishlist_datasource.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 12, 54
"e:\Projects\cinemax\lib\data\model\actors.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"e:\Projects\cinemax\lib\data\model\banner.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"e:\Projects\cinemax\lib\data\model\category.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"e:\Projects\cinemax\lib\data\model\comment.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 4, 52
"e:\Projects\cinemax\lib\data\model\comment_reply.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 3, 10
"e:\Projects\cinemax\lib\data\model\episode.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 4, 29
"e:\Projects\cinemax\lib\data\model\firebase_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 8, 31
"e:\Projects\cinemax\lib\data\model\language.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 4, 57
"e:\Projects\cinemax\lib\data\model\movie.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 4, 45
"e:\Projects\cinemax\lib\data\model\movie_casts.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"e:\Projects\cinemax\lib\data\model\moviegallery.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"e:\Projects\cinemax\lib\data\model\news.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"e:\Projects\cinemax\lib\data\model\series_cast.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"e:\Projects\cinemax\lib\data\model\series_seasons.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 3, 21
"e:\Projects\cinemax\lib\data\model\upcoming_cast.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"e:\Projects\cinemax\lib\data\model\upcoming_gallery.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"e:\Projects\cinemax\lib\data\model\upcomings.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 4, 39
"e:\Projects\cinemax\lib\data\model\user.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"e:\Projects\cinemax\lib\data\model\user_comment.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 4, 55
"e:\Projects\cinemax\lib\data\model\user_reply.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 4, 42
"e:\Projects\cinemax\lib\data\model\video.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
